"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка: можно указать цвет GRAY and BLACK","552","test_create_order_without_color","tests","2026-09-03","passed","2026-09-03","TestOrderCreation","test_order_creation","",""
"Проверка: firstName опциональное поле","1850","test_courier_creation_without_first_name","tests","2026-09-03","passed","2026-09-03","TestCourierCreation","test_courier_creation","",""
"Проверка: можно указать цвет GRAY and BLACK","569","test_create_order_with_both_color","tests","2026-09-03","passed","2026-09-03","TestOrderCreation","test_order_creation","",""
"Проверка: нельзя создать двух одинаковых курьеров","3391","test_courier_cannot_be_created","tests","2026-09-03","passed","2026-09-03","TestCourierCreation","test_courier_creation","",""
"получение списка заказов возвращает код 200","13072","test_get_orders_list_correct_status_code","tests","2026-09-03","passed","2026-09-03","TestOrderList","test_orders_list","",""
"Проверка: можно указать цвет GRAY","550","test_create_order_with_grey_color","tests","2026-09-03","passed","2026-09-03","TestOrderCreation","test_order_creation","",""
"Проверка: успешный запрос возвращает id","1950","test_successful_login_returns_id","tests","2026-09-03","passed","2026-09-03","TestCourierLogin","test_courier_login","",""
"Проверка: можно указать BLACK, GREY, оба цвета или без цветов","586","test_create_order_with_colors[colors0]","tests","2026-09-03","passed","2026-09-03","TestOrderCreation","test_order_creation","",""
"курьера можно создать ПРОВЕРКА","2432","test_courier_can_be_created","tests","2026-09-03","passed","2026-09-03","TestCourierCreation","test_courier_creation","",""
"Проверка: логин должен быть уникален","2708","test_duplicate_login_returns_error","tests","2026-09-03","passed","2026-09-03","TestCourierCreation","test_courier_creation","",""
"Проверка курьер может авторизоваться","1801","test_courier_can_login","tests","2026-09-03","passed","2026-09-03","TestCourierLogin","test_courier_login","",""
"проверка json","13808","test_get_orders_list_response_is_json","tests","2026-09-03","passed","2026-09-03","TestOrderList","test_orders_list","",""
"Проверка: без пароля возвращается ошибка","592","test_courier_creation_without_password","tests","2026-09-03","passed","2026-09-03","TestCourierCreation","test_courier_creation","",""
"Проверка: если авторизоваться под несуществующим пользователем, возвращается ошибка","847","test_nonexistent_user_login_returns_error","tests","2026-09-03","passed","2026-09-03","TestCourierLogin","test_courier_login","",""
"Проверка: можно указать BLACK, GREY, оба цвета или без цветов","611","test_create_order_with_colors[colors1]","tests","2026-09-03","passed","2026-09-03","TestOrderCreation","test_order_creation","",""
"Проверка: без пароля возвращается ошибка","60598","test_login_without_password","tests","2026-09-03","passed","2026-09-03","TestCourierLogin","test_courier_login","",""
"Проверка: без логина возвращается ошибка","557","test_courier_creation_without_login","tests","2026-09-03","passed","2026-09-03","TestCourierCreation","test_courier_creation","",""
"Проверка: можно указать BLACK, GREY, оба цвета или без цветов","592","test_create_order_with_colors[colors3]","tests","2026-09-03","passed","2026-09-03","TestOrderCreation","test_order_creation","",""
"в тело ответа возвращается список заказов","14751","test_get_orders_list_return_list","tests","2026-09-03","passed","2026-09-03","TestOrderList","test_orders_list","",""
"Проверка: система вернёт ошибку, если неправильно указать логин","2417","test_incorrect_login_returns_error","tests","2026-09-03","passed","2026-09-03","TestCourierLogin","test_courier_login","",""
"в ответе находится массив заказов","18282","test_get_orders_list_returns_orders_array","tests","2026-09-03","passed","2026-09-03","TestOrderList","test_orders_list","",""
"Проверка: система вернёт ошибку, если неправильно указать пароль","1216","test_incorrect_password_returns_error","tests","2026-09-03","passed","2026-09-03","TestCourierLogin","test_courier_login","",""
"Проверка: можно указать цвет BLACK","567","test_create_oder_with_black_color","tests","2026-09-03","passed","2026-09-03","TestOrderCreation","test_order_creation","",""
"Проверка: список заказов может быть пустым или заполненным","14762","test_get_orders_list_empty_or_populated","tests","2026-09-03","passed","2026-09-03","TestOrderList","test_orders_list","",""
"Проверка: можно указать BLACK, GREY, оба цвета или без цветов","607","test_create_order_with_colors[colors2]","tests","2026-09-03","passed","2026-09-03","TestOrderCreation","test_order_creation","",""
"Проверка: без логина возвращается ошибка","653","test_login_without_login_field","tests","2026-09-03","passed","2026-09-03","TestCourierLogin","test_courier_login","",""
